"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1403","evm.TU.chromosome_2.644","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Cellular Components",0.142857142857143
"1404","evm.TU.chromosome_2.644","GO:0090042","tubulin deacetylation",4,1,0.04,0.0346,"Cellular Components",0.25
"1405","evm.TU.chromosome_2.1197","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1406","evm.TU.chromosome_3.1503","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1407","evm.TU.chromosome_3.1502","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1408","evm.TU.chromosome_3.1747.1.5f168bba","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1409","evm.TU.chromosome_3.1745","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1410","evm.TU.chromosome_3.818","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1411","evm.TU.chromosome_3.356","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1412","evm.TU.chromosome_3.51","GO:0050773","regulation of dendrite development",98,3,0.86,0.0354,"Cellular Components",0.0306122448979592
"1413","evm.TU.chromosome_3.782","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1414","evm.TU.chromosome_3.441","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1415","evm.TU.chromosome_3.969","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1416","evm.TU.chromosome_3.969","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1417","evm.TU.chromosome_3.750.2.5f15dcc8","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1418","evm.TU.chromosome_3.1739","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1419","evm.TU.chromosome_3.1739","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Cellular Components",0.027027027027027
"1420","evm.TU.chromosome_3.946","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Cellular Components",0.142857142857143
"1421","evm.TU.chromosome_3.61","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1422","evm.TU.chromosome_3.61","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1423","evm.TU.chromosome_3.203","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Cellular Components",0.142857142857143
"1424","evm.TU.chromosome_3.1357","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1425","evm.TU.chromosome_3.1357","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1426","evm.TU.chromosome_3.1264","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1427","evm.TU.chromosome_3.1265","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1428","evm.TU.chromosome_3.1266","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1429","evm.TU.chromosome_3.180","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1430","evm.TU.chromosome_3.180","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1431","evm.TU.chromosome_3.180","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1432","evm.TU.chromosome_3.1599","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Cellular Components",0.027027027027027
"1433","evm.TU.chromosome_3.1599","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1434","evm.TU.chromosome_3.972","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Cellular Components",0.0508474576271186
"1435","evm.TU.chromosome_3.1036","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1436","evm.TU.chromosome_3.344","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1437","evm.TU.chromosome_3.87","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1438","evm.TU.chromosome_3.1444","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1439","evm.TU.chromosome_3.1660","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1440","evm.TU.chromosome_3.1661","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1441","evm.TU.chromosome_3.1559","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1442","evm.TU.chromosome_3.1081","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1443","evm.TU.chromosome_3.1081","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1444","evm.TU.chromosome_3.1089","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1445","evm.TU.chromosome_3.1089","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1446","evm.TU.chromosome_3.1878","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1447","evm.TU.chromosome_3.311","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1448","evm.TU.chromosome_3.465","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Cellular Components",0.142857142857143
"1449","evm.TU.chromosome_3.1246","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1450","evm.TU.chromosome_3.1246","GO:0050773","regulation of dendrite development",98,3,0.86,0.0354,"Cellular Components",0.0306122448979592
"1451","evm.TU.chromosome_3.966","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1452","evm.TU.chromosome_3.966","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1453","evm.TU.chromosome_3.1722_evm.TU.chromosome_3.1743","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1454","evm.TU.chromosome_3.797","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Cellular Components",0.0857142857142857
"1455","evm.TU.chromosome_3.1489","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1456","evm.TU.chromosome_3.2023","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1457","evm.TU.chromosome_3.1981","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1458","evm.TU.chromosome_3.1978","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1459","evm.TU.chromosome_3.217","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1460","evm.TU.chromosome_3.217","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1461","evm.TU.chromosome_3.214","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1462","evm.TU.chromosome_3.2030","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1463","evm.TU.chromosome_3.46","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1464","evm.TU.chromosome_3.142","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1465","evm.TU.chromosome_3.142","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1466","evm.TU.chromosome_3.142","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1467","evm.TU.chromosome_3.96","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1468","evm.TU.chromosome_3.96","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1469","evm.TU.chromosome_3.231","GO:0010756","positive regulation of plasminogen activation",4,1,0.04,0.0346,"Cellular Components",0.25
"1470","evm.TU.chromosome_3.237","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1471","evm.TU.chromosome_3.88","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1472","evm.TU.chromosome_3.1790","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1473","evm.TU.chromosome_3.1790","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1474","evm.TU.chromosome_4.1883","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1475","evm.TU.chromosome_4.767","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1476","evm.TU.chromosome_4.694","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1477","evm.TU.chromosome_4.694","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1478","evm.TU.chromosome_4.1839","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1479","evm.TU.chromosome_4.1839","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1480","evm.TU.chromosome_4.2340","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1481","evm.TU.chromosome_4.1254.1.5f15e49f","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1482","evm.TU.chromosome_4.1254.1.5f15e49f","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1483","evm.TU.chromosome_4.1254.1.5f15e49f","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1484","evm.TU.chromosome_4.1254","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1485","evm.TU.chromosome_4.1254","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1486","evm.TU.chromosome_4.1254","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1487","evm.TU.chromosome_4.1570","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1488","evm.TU.chromosome_4.1597","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1489","evm.TU.chromosome_4.275","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1490","evm.TU.chromosome_4.275","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1491","evm.TU.chromosome_4.2503","GO:0033387","putrescine biosynthetic process from ornithine",1,1,0.01,0.0088,"Cellular Components",1
"1492","evm.TU.chromosome_4.2337","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1493","evm.TU.chromosome_4.749","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1494","evm.TU.chromosome_4.2000","GO:0007172","signal complex assembly",2,1,0.02,0.0174,"Cellular Components",0.5
"1495","evm.TU.chromosome_4.2000","GO:0007172","signal complex assembly",2,1,0.02,0.0174,"Cellular Components",0.5
"1496","evm.TU.chromosome_4.1133","GO:0034983","peptidyl-lysine deacetylation",4,1,0.04,0.0346,"Cellular Components",0.25
"1497","evm.TU.chromosome_4.29","GO:1902990","mitotic telomere maintenance via semi-conservative ...",2,1,0.02,0.0174,"Cellular Components",0.5
"1498","evm.TU.chromosome_4.29","GO:1904430","negative regulation of t-circle formation",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1499","evm.TU.chromosome_4.29","GO:1904535","positive regulation of telomeric loop disassembly",1,1,0.01,0.0088,"Cellular Components",1
"1500","evm.TU.chromosome_4.774","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Cellular Components",0.0508474576271186
"1501","evm.TU.chromosome_4.984","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1502","evm.TU.chromosome_4.1474","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1503","evm.TU.chromosome_4.1477","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1504","evm.TU.chromosome_4.2360","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Cellular Components",0.0810810810810811
"1505","evm.TU.chromosome_4.2280","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1506","evm.TU.chromosome_4.2280","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1507","evm.TU.chromosome_4.855_evm.TU.chromosome_4.856","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Cellular Components",0.0508474576271186
"1508","evm.TU.chromosome_4.1630","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1509","evm.TU.chromosome_4.1433","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Cellular Components",0.027027027027027
"1510","evm.TU.chromosome_4.1389","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1511","evm.TU.chromosome_4.1848","GO:0090400","stress-induced premature senescence",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1512","evm.TU.chromosome_4.972","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1513","evm.TU.chromosome_4.972","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1514","evm.TU.chromosome_4.972","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1515","evm.TU.chromosome_4.1643","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1516","evm.TU.chromosome_4.1589","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1517","evm.TU.chromosome_4.840","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1518","evm.TU.chromosome_4.1318","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1519","evm.TU.chromosome_4.2389","GO:0042843","D-xylose catabolic process",4,1,0.04,0.0346,"Cellular Components",0.25
"1520","evm.TU.chromosome_4.2022_evm.TU.chromosome_4.2023","GO:0061743","motor learning",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1521","evm.TU.chromosome_4.1656","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1522","evm.TU.chromosome_4.2460","GO:0061303","cornea development in camera-type eye",4,1,0.04,0.0346,"Cellular Components",0.25
"1523","evm.TU.chromosome_4.926","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1524","evm.TU.chromosome_4.926","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Cellular Components",0.0571428571428571
"1525","evm.TU.chromosome_4.927","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1526","evm.TU.chromosome_4.927","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Cellular Components",0.0571428571428571
"1527","evm.TU.chromosome_4.928","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1528","evm.TU.chromosome_4.928","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Cellular Components",0.0571428571428571
"1529","evm.TU.chromosome_4.9","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1530","evm.TU.chromosome_4.1219","GO:0070842","aggresome assembly",3,1,0.03,0.026,"Cellular Components",0.333333333333333
